name;percent_change;values
Mina;1h;-1.68228486
Mina;24h;-1.45189957
Mina;7d;2.99550382
Mina;30d;-22.92470839
Mina;60d;-51.35178377
Mina;90d;-53.22024432
Reserve Rights;1h;-2.68565923
Reserve Rights;24h;-0.14942694
Reserve Rights;7d;3.90979059
Reserve Rights;30d;-28.73139304
Reserve Rights;60d;-58.20308086
Reserve Rights;90d;-40.94220004
Grass;1h;-2.82075512
Grass;24h;-4.45249976
Grass;7d;-6.75856384
Grass;30d;-22.31404955
Grass;60d;-47.95092333
Grass;90d;-41.42866751
JUST;1h;-0.29933466
JUST;24h;-0.50761212
JUST;7d;0.44781283
JUST;30d;-10.24035744
JUST;60d;-19.41858518
JUST;90d;-14.48714489
Synthetix;1h;-1.84341355
Synthetix;24h;2.29551707
Synthetix;7d;7.39096069
Synthetix;30d;-9.18228163
Synthetix;60d;-48.40646227
Synthetix;90d;-54.9254582
Akash Network;1h;-1.76725225
Akash Network;24h;-4.22867769
Akash Network;7d;-13.49623158
Akash Network;30d;-32.73274699
Akash Network;60d;-58.59703417
Akash Network;90d;-58.98425361
Dash;1h;-1.05526599
Dash;24h;-0.2356235
Dash;7d;8.41350308
Dash;30d;-7.75673095
Dash;60d;-35.46156261
Dash;90d;-28.02365519
Kusama;1h;-1.52391792
Kusama;24h;-1.05289267
Kusama;7d;8.92847642
Kusama;30d;-9.33096927
Kusama;60d;-40.01912695
Kusama;90d;-33.06776373
1inch Network;1h;-1.46175249
1inch Network;24h;-0.16891839
1inch Network;7d;3.8005442
1inch Network;30d;-21.85035486
1inch Network;60d;-41.15403757
1inch Network;90d;-41.20011959
Golem;1h;-1.26627602
Golem;24h;-2.53196662
Golem;7d;-8.08858448
Golem;30d;-3.92580401
Golem;60d;-21.82576359
Golem;90d;-14.49730722
Creditcoin;1h;-1.99934114
